Race,Candidate,Vote Type,Locality,Votes
Governor (Vote For 1),,Registered Voters,Glassboro District 3,898
Governor (Vote For 1),,Total,Glassboro District 3,159
Governor (Vote For 1),,Registered Voters,Glassboro District 4,705
Governor (Vote For 1),,Total,Glassboro District 4,190
Governor (Vote For 1),,Registered Voters,Glassboro District 5,987
Governor (Vote For 1),,Total,Glassboro District 5,229
Governor (Vote For 1),,Registered Voters,Glassboro District 6,788
Governor (Vote For 1),,Total,Glassboro District 6,237
Governor (Vote For 1),,Registered Voters,Glassboro District 7,1316
Governor (Vote For 1),,Total,Glassboro District 7,424
Governor (Vote For 1),,Registered Voters,Glassboro District 8,879
Governor (Vote For 1),,Total,Glassboro District 8,268
Governor (Vote For 1),,Registered Voters,Glassboro District 9,650
Governor (Vote For 1),,Total,Glassboro District 9,193
Governor (Vote For 1),,Registered Voters,Glassboro District 10,871
Governor (Vote For 1),,Total,Glassboro District 10,282
Governor (Vote For 1),,Registered Voters,Glassboro District 11,898
Governor (Vote For 1),,Total,Glassboro District 11,314
Governor (Vote For 1),,Registered Voters,Glassboro District 12,898
Governor (Vote For 1),,Total,Glassboro District 12,284
Governor (Vote For 1),,Registered Voters,Glassboro District 13,745
Governor (Vote For 1),,Total,Glassboro District 13,386
Governor (Vote For 1),,Registered Voters,Greenwich District 1,420
Governor (Vote For 1),,Total,Greenwich District 1,161
Governor (Vote For 1),,Registered Voters,Greenwich District 2,665
Governor (Vote For 1),,Total,Greenwich District 2,277
Governor (Vote For 1),,Registered Voters,Greenwich District 3,551
Governor (Vote For 1),,Total,Greenwich District 3,213
Governor (Vote For 1),,Registered Voters,Greenwich District 4,590
Governor (Vote For 1),,Total,Greenwich District 4,230
Governor (Vote For 1),,Registered Voters,Greenwich District 5,531
Governor (Vote For 1),,Total,Greenwich District 5,179
Governor (Vote For 1),,Registered Voters,Greenwich District 6,904
Governor (Vote For 1),,Total,Greenwich District 6,336
Governor (Vote For 1),,Registered Voters,Harrison District 1,922
Governor (Vote For 1),,Total,Harrison District 1,365
Governor (Vote For 1),,Registered Voters,Harrison District 2,1017
Governor (Vote For 1),,Total,Harrison District 2,372
Governor (Vote For 1),,Registered Voters,Harrison District 3,851
Governor (Vote For 1),,Total,Harrison District 3,319
Governor (Vote For 1),,Registered Voters,Harrison District 4,1138
Governor (Vote For 1),,Total,Harrison District 4,473
Governor (Vote For 1),,Registered Voters,Harrison District 5,1099
Governor (Vote For 1),,Total,Harrison District 5,437
Governor (Vote For 1),,Registered Voters,Harrison District 6,1037
Governor (Vote For 1),,Total,Harrison District 6,394
Governor (Vote For 1),,Registered Voters,Harrison District 7,973
Governor (Vote For 1),,Total,Harrison District 7,359
Governor (Vote For 1),,Registered Voters,Harrison District 8,1346
Governor (Vote For 1),,Total,Harrison District 8,485
Governor (Vote For 1),,Registered Voters,Harrison District 9,1040
Governor (Vote For 1),,Total,Harrison District 9,397
Governor (Vote For 1),,Registered Voters,Logan District 1,786
Governor (Vote For 1),,Total,Logan District 1,266
Governor (Vote For 1),,Registered Voters,Logan District 2,1345
Governor (Vote For 1),,Total,Logan District 2,457
Governor (Vote For 1),,Registered Voters,Logan District 3,1115
Governor (Vote For 1),,Total,Logan District 3,367
Governor (Vote For 1),,Registered Voters,Logan District 4,1059
Governor (Vote For 1),,Total,Logan District 4,348
Governor (Vote For 1),,Registered Voters,Mantua District 1,916
Governor (Vote For 1),,Total,Mantua District 1,367
Governor (Vote For 1),,Registered Voters,Mantua District 2,959
Governor (Vote For 1),,Total,Mantua District 2,294
Governor (Vote For 1),,Registered Voters,Mantua District 3,829
Governor (Vote For 1),,Total,Mantua District 3,299
Governor (Vote For 1),,Registered Voters,Mantua District 4,1143
Governor (Vote For 1),,Total,Mantua District 4,318
Governor (Vote For 1),,Registered Voters,Mantua District 5,1031
Governor (Vote For 1),,Total,Mantua District 5,290
Governor (Vote For 1),,Registered Voters,Mantua District 6,1138
Governor (Vote For 1),,Total,Mantua District 6,378
Governor (Vote For 1),,Registered Voters,Mantua District 7,542
Governor (Vote For 1),,Total,Mantua District 7,189
Governor (Vote For 1),,Registered Voters,Mantua District 8,681
Governor (Vote For 1),,Total,Mantua District 8,187
Governor (Vote For 1),,Registered Voters,Mantua District 9,965
Governor (Vote For 1),,Total,Mantua District 9,291
Governor (Vote For 1),,Registered Voters,Mantua District 10,1302
Governor (Vote For 1),,Total,Mantua District 10,404
Governor (Vote For 1),,Registered Voters,Mantua District 11,646
Governor (Vote For 1),,Total,Mantua District 11,210
Governor (Vote For 1),,Registered Voters,Mantua District 12,1146
Governor (Vote For 1),,Total,Mantua District 12,378
Governor (Vote For 1),,Registered Voters,Monroe District 1,830
Governor (Vote For 1),,Total,Monroe District 1,250
Governor (Vote For 1),,Registered Voters,Monroe District 2,1222
Governor (Vote For 1),,Total,Monroe District 2,355
Governor (Vote For 1),,Registered Voters,Monroe District 3,724
Governor (Vote For 1),,Total,Monroe District 3,151
Governor (Vote For 1),,Registered Voters,Monroe District 4,675
Governor (Vote For 1),,Total,Monroe District 4,174
Governor (Vote For 1),,Registered Voters,Monroe District 5,943
Governor (Vote For 1),,Total,Monroe District 5,288
Governor (Vote For 1),,Registered Voters,Monroe District 6,1145
Governor (Vote For 1),,Total,Monroe District 6,358
Governor (Vote For 1),,Registered Voters,Monroe District 7,1261
Governor (Vote For 1),,Total,Monroe District 7,383
Governor (Vote For 1),,Registered Voters,Monroe District 8,873
Governor (Vote For 1),,Total,Monroe District 8,214
Governor (Vote For 1),,Registered Voters,Monroe District 9,1076
Governor (Vote For 1),,Total,Monroe District 9,466
Governor (Vote For 1),,Registered Voters,Monroe District 10,779
Governor (Vote For 1),,Total,Monroe District 10,207
Governor (Vote For 1),,Registered Voters,Monroe District 11,539
Governor (Vote For 1),,Total,Monroe District 11,154
Governor (Vote For 1),,Registered Voters,Monroe District 12,787
Governor (Vote For 1),,Total,Monroe District 12,244
Governor (Vote For 1),,Registered Voters,Monroe District 13,1242
Governor (Vote For 1),,Total,Monroe District 13,356
Governor (Vote For 1),,Registered Voters,Monroe District 14,948
Governor (Vote For 1),,Total,Monroe District 14,274
Governor (Vote For 1),,Registered Voters,Monroe District 15,1207
Governor (Vote For 1),,Total,Monroe District 15,399
Governor (Vote For 1),,Registered Voters,Monroe District 16,979
Governor (Vote For 1),,Total,Monroe District 16,204
Governor (Vote For 1),,Registered Voters,Monroe District 17,950
Governor (Vote For 1),,Total,Monroe District 17,196
Governor (Vote For 1),,Registered Voters,Monroe District 18,1000
Governor (Vote For 1),,Total,Monroe District 18,284
Governor (Vote For 1),,Registered Voters,Monroe District 19,1047
Governor (Vote For 1),,Total,Monroe District 19,337
Governor (Vote For 1),,Registered Voters,Monroe District 20,781
Governor (Vote For 1),,Total,Monroe District 20,234
Governor (Vote For 1),,Registered Voters,Monroe District 21,970
Governor (Vote For 1),,Total,Monroe District 21,345
Governor (Vote For 1),,Registered Voters,Monroe District 22,1468
Governor (Vote For 1),,Total,Monroe District 22,476
Governor (Vote For 1),,Registered Voters,Monroe District 23,1233
Governor (Vote For 1),,Total,Monroe District 23,329
Governor (Vote For 1),,Registered Voters,Monroe District 24,864
Governor (Vote For 1),,Total,Monroe District 24,280
Governor (Vote For 1),,Registered Voters,Monroe District 25,751
Governor (Vote For 1),,Total,Monroe District 25,259
Governor (Vote For 1),,Registered Voters,Monroe District 26,1133
Governor (Vote For 1),,Total,Monroe District 26,348
Governor (Vote For 1),,Registered Voters,National Park District 1,468
Governor (Vote For 1),,Total,National Park District 1,176
Governor (Vote For 1),,Registered Voters,National Park District 2,571
Governor (Vote For 1),,Total,National Park District 2,156
Governor (Vote For 1),,Registered Voters,National Park District 3,592
Governor (Vote For 1),,Total,National Park District 3,189
Governor (Vote For 1),,Registered Voters,National Park District 4,386
Governor (Vote For 1),,Total,National Park District 4,119
Governor (Vote For 1),,Registered Voters,Newfield District 1,1177
Governor (Vote For 1),,Total,Newfield District 1,399
Governor (Vote For 1),,Registered Voters,Paulsboro District 1,914
Governor (Vote For 1),,Total,Paulsboro District 1,251
Governor (Vote For 1),,Registered Voters,Paulsboro District 2,765
Governor (Vote For 1),,Total,Paulsboro District 2,223
Governor (Vote For 1),,Registered Voters,Paulsboro District 3,605
Governor (Vote For 1),,Total,Paulsboro District 3,140
Governor (Vote For 1),,Registered Voters,Paulsboro District 4,719
Governor (Vote For 1),,Total,Paulsboro District 4,233
Governor (Vote For 1),,Registered Voters,Paulsboro District 5,602
Governor (Vote For 1),,Total,Paulsboro District 5,183
Governor (Vote For 1),,Registered Voters,Pitman District 1,1040
Governor (Vote For 1),,Total,Pitman District 1,406
Governor (Vote For 1),,Registered Voters,Pitman District 2,756
Governor (Vote For 1),,Total,Pitman District 2,297
Governor (Vote For 1),,Registered Voters,Pitman District 3,808
Governor (Vote For 1),,Total,Pitman District 3,315
Governor (Vote For 1),,Registered Voters,Pitman District 4,992
Governor (Vote For 1),,Total,Pitman District 4,451
Governor (Vote For 1),,Registered Voters,Pitman District 5,965
Governor (Vote For 1),,Total,Pitman District 5,456
Governor (Vote For 1),,Registered Voters,Pitman District 6,1033
Governor (Vote For 1),,Total,Pitman District 6,426
Governor (Vote For 1),,Registered Voters,Pitman District 7,915
Governor (Vote For 1),,Total,Pitman District 7,395
Governor (Vote For 1),,Registered Voters,South Harrison District 1,841
Governor (Vote For 1),,Total,South Harrison District 1,279
Governor (Vote For 1),,Registered Voters,South Harrison District 2,824
Governor (Vote For 1),,Total,South Harrison District 2,289
Governor (Vote For 1),,Registered Voters,South Harrison District 3,739
Governor (Vote For 1),,Total,South Harrison District 3,250
Governor (Vote For 1),,Registered Voters,Swedesboro District 1,842
Governor (Vote For 1),,Total,Swedesboro District 1,264
Governor (Vote For 1),,Registered Voters,Swedesboro District 2,785
Governor (Vote For 1),,Total,Swedesboro District 2,216
Governor (Vote For 1),,Registered Voters,Washington District 1,970
Governor (Vote For 1),,Total,Washington District 1,304
Governor (Vote For 1),,Registered Voters,Washington District 2,954
Governor (Vote For 1),,Total,Washington District 2,279
Governor (Vote For 1),,Registered Voters,Washington District 3,808
Governor (Vote For 1),,Total,Washington District 3,209
Governor (Vote For 1),,Registered Voters,Washington District 4,1163
Governor (Vote For 1),,Total,Washington District 4,383
Governor (Vote For 1),,Registered Voters,Washington District 5,1295
Governor (Vote For 1),,Total,Washington District 5,324
Governor (Vote For 1),,Registered Voters,Washington District 6,1449
Governor (Vote For 1),,Total,Washington District 6,347
Governor (Vote For 1),,Registered Voters,Washington District 7,981
Governor (Vote For 1),,Total,Washington District 7,247
Governor (Vote For 1),,Registered Voters,Washington District 8,892
Governor (Vote For 1),,Total,Washington District 8,280
Governor (Vote For 1),,Registered Voters,Washington District 9,977
Governor (Vote For 1),,Total,Washington District 9,285
Governor (Vote For 1),,Registered Voters,Washington District 10,689
Governor (Vote For 1),,Total,Washington District 10,214
Governor (Vote For 1),,Registered Voters,Washington District 11,910
Governor (Vote For 1),,Total,Washington District 11,267
Governor (Vote For 1),,Registered Voters,Washington District 12,682
Governor (Vote For 1),,Total,Washington District 12,242
Governor (Vote For 1),,Registered Voters,Washington District 13,631
Governor (Vote For 1),,Total,Washington District 13,201
Governor (Vote For 1),,Registered Voters,Washington District 14,676
Governor (Vote For 1),,Total,Washington District 14,181
Governor (Vote For 1),,Registered Voters,Washington District 15,732
Governor (Vote For 1),,Total,Washington District 15,224
Governor (Vote For 1),,Registered Voters,Washington District 16,1320
Governor (Vote For 1),,Total,Washington District 16,433
Governor (Vote For 1),,Registered Voters,Washington District 17,921
Governor (Vote For 1),,Total,Washington District 17,337
Governor (Vote For 1),,Registered Voters,Washington District 18,1022
Governor (Vote For 1),,Total,Washington District 18,285
Governor (Vote For 1),,Registered Voters,Washington District 19,825
Governor (Vote For 1),,Total,Washington District 19,225
Governor (Vote For 1),,Registered Voters,Washington District 20,832
Governor (Vote For 1),,Total,Washington District 20,263
Governor (Vote For 1),,Registered Voters,Washington District 21,684
Governor (Vote For 1),,Total,Washington District 21,192
Governor (Vote For 1),,Registered Voters,Washington District 22,1015
Governor (Vote For 1),,Total,Washington District 22,293
Governor (Vote For 1),,Registered Voters,Washington District 23,871
Governor (Vote For 1),,Total,Washington District 23,278
Governor (Vote For 1),,Registered Voters,Washington District 24,1264
Governor (Vote For 1),,Total,Washington District 24,357
Governor (Vote For 1),,Registered Voters,Washington District 25,705
Governor (Vote For 1),,Total,Washington District 25,154
Governor (Vote For 1),,Registered Voters,Washington District 26,1111
Governor (Vote For 1),,Total,Washington District 26,254
Governor (Vote For 1),,Registered Voters,Washington District 27,1024
Governor (Vote For 1),,Total,Washington District 27,251
Governor (Vote For 1),,Registered Voters,Washington District 28,921
Governor (Vote For 1),,Total,Washington District 28,255
Governor (Vote For 1),,Registered Voters,Washington District 29,757
Governor (Vote For 1),,Total,Washington District 29,240
Governor (Vote For 1),,Registered Voters,Washington District 30,1088
Governor (Vote For 1),,Total,Washington District 30,378
Governor (Vote For 1),,Registered Voters,Washington District 31,950
Governor (Vote For 1),,Total,Washington District 31,322
Governor (Vote For 1),,Registered Voters,Washington District 32,921
Governor (Vote For 1),,Total,Washington District 32,300
Governor (Vote For 1),,Registered Voters,Washington District 33,1135
Governor (Vote For 1),,Total,Washington District 33,343
Governor (Vote For 1),,Registered Voters,Washington District 34,722
Governor (Vote For 1),,Total,Washington District 34,208
Governor (Vote For 1),,Registered Voters,Washington District 35,759
Governor (Vote For 1),,Total,Washington District 35,200
Governor (Vote For 1),,Registered Voters,Washington District 36,471
Governor (Vote For 1),,Total,Washington District 36,99
Governor (Vote For 1),,Registered Voters,Washington District 37,991
Governor (Vote For 1),,Total,Washington District 37,264
Governor (Vote For 1),,Registered Voters,Washington District 38,1300
Governor (Vote For 1),,Total,Washington District 38,385
Governor (Vote For 1),,Registered Voters,Washington District 39,947
Governor (Vote For 1),,Total,Washington District 39,211
Governor (Vote For 1),,Registered Voters,Wenonah District 1,730
Governor (Vote For 1),,Total,Wenonah District 1,329
Governor (Vote For 1),,Registered Voters,Wenonah District 2,641
Governor (Vote For 1),,Total,Wenonah District 2,308
Governor (Vote For 1),,Registered Voters,Wenonah District 3,481
Governor (Vote For 1),,Total,Wenonah District 3,238
Governor (Vote For 1),,Registered Voters,West Deptford District 1,870
Governor (Vote For 1),,Total,West Deptford District 1,269
Governor (Vote For 1),,Registered Voters,West Deptford District 2,568
Governor (Vote For 1),,Total,West Deptford District 2,180
Governor (Vote For 1),,Registered Voters,West Deptford District 3,716
Governor (Vote For 1),,Total,West Deptford District 3,266
Governor (Vote For 1),,Registered Voters,West Deptford District 4,853
Governor (Vote For 1),,Total,West Deptford District 4,330
Governor (Vote For 1),,Registered Voters,West Deptford District 5,659
Governor (Vote For 1),,Total,West Deptford District 5,204
Governor (Vote For 1),,Registered Voters,West Deptford District 6,505
Governor (Vote For 1),,Total,West Deptford District 6,205
Governor (Vote For 1),,Registered Voters,West Deptford District 7,1114
Governor (Vote For 1),,Total,West Deptford District 7,373
Governor (Vote For 1),,Registered Voters,West Deptford District 8,912
Governor (Vote For 1),,Total,West Deptford District 8,341
Governor (Vote For 1),,Registered Voters,West Deptford District 9,679
Governor (Vote For 1),,Total,West Deptford District 9,192
Governor (Vote For 1),,Registered Voters,West Deptford District 10,649
Governor (Vote For 1),,Total,West Deptford District 10,200
Governor (Vote For 1),,Registered Voters,West Deptford District 11,593
Governor (Vote For 1),,Total,West Deptford District 11,222
Governor (Vote For 1),,Registered Voters,West Deptford District 12,524
Governor (Vote For 1),,Total,West Deptford District 12,150
Governor (Vote For 1),,Registered Voters,West Deptford District 13,1300
Governor (Vote For 1),,Total,West Deptford District 13,580
Governor (Vote For 1),,Registered Voters,West Deptford District 14,1042
Governor (Vote For 1),,Total,West Deptford District 14,269
Governor (Vote For 1),,Registered Voters,West Deptford District 15,952
Governor (Vote For 1),,Total,West Deptford District 15,285
Governor (Vote For 1),,Registered Voters,West Deptford District 16,841
Governor (Vote For 1),,Total,West Deptford District 16,368
Governor (Vote For 1),,Registered Voters,West Deptford District 17,906
Governor (Vote For 1),,Total,West Deptford District 17,265
Governor (Vote For 1),,Registered Voters,West Deptford District 18,921
Governor (Vote For 1),,Total,West Deptford District 18,228
Governor (Vote For 1),,Registered Voters,West Deptford District 19,1322
Governor (Vote For 1),,Total,West Deptford District 19,393
Governor (Vote For 1),,Registered Voters,Westville District 1,829
Governor (Vote For 1),,Total,Westville District 1,232
Governor (Vote For 1),,Registered Voters,Westville District 2,1089
Governor (Vote For 1),,Total,Westville District 2,307
Governor (Vote For 1),,Registered Voters,Westville District 3,806
Governor (Vote For 1),,Total,Westville District 3,239
Governor (Vote For 1),,Registered Voters,Woodbury Ward 1 District 1,728
Governor (Vote For 1),,Total,Woodbury Ward 1 District 1,157
Governor (Vote For 1),,Registered Voters,Woodbury Ward 1 District 2,523
Governor (Vote For 1),,Total,Woodbury Ward 1 District 2,178
Governor (Vote For 1),,Registered Voters,Woodbury Ward 1 District 3,596
Governor (Vote For 1),,Total,Woodbury Ward 1 District 3,200
Governor (Vote For 1),,Registered Voters,Woodbury Ward 2 District 1,526
Governor (Vote For 1),,Total,Woodbury Ward 2 District 1,182
Governor (Vote For 1),,Registered Voters,Woodbury Ward 2 District 2,568
Governor (Vote For 1),,Total,Woodbury Ward 2 District 2,138
Governor (Vote For 1),,Registered Voters,Woodbury Ward 2 District 3,713
Governor (Vote For 1),,Total,Woodbury Ward 2 District 3,203
Governor (Vote For 1),,Registered Voters,Woodbury Ward 2 District 4,449
Governor (Vote For 1),,Total,Woodbury Ward 2 District 4,136
Governor (Vote For 1),,Registered Voters,Woodbury Ward 3 District 1,641
Governor (Vote For 1),,Total,Woodbury Ward 3 District 1,304
Governor (Vote For 1),,Registered Voters,Woodbury Ward 3 District 2,625
Governor (Vote For 1),,Total,Woodbury Ward 3 District 2,276
Governor (Vote For 1),,Registered Voters,Woodbury Ward 3 District 3,682
Governor (Vote For 1),,Total,Woodbury Ward 3 District 3,238
Governor (Vote For 1),,Registered Voters,Woodbury Ward 3 District 4,485
Governor (Vote For 1),,Total,Woodbury Ward 3 District 4,160
Governor (Vote For 1),,Registered Voters,Woodbury Heights 1,608
Governor (Vote For 1),,Total,Woodbury Heights 1,219
Governor (Vote For 1),,Registered Voters,Woodbury Heights 2,588
Governor (Vote For 1),,Total,Woodbury Heights 2,222
Governor (Vote For 1),,Registered Voters,Woodbury Heights 3,376
Governor (Vote For 1),,Total,Woodbury Heights 3,161
Governor (Vote For 1),,Registered Voters,Woodbury Heights 4,686
Governor (Vote For 1),,Total,Woodbury Heights 4,265
Governor (Vote For 1),,Registered Voters,Woolwich District 1,1421
Governor (Vote For 1),,Total,Woolwich District 1,459
Governor (Vote For 1),,Registered Voters,Woolwich District 2,1199
Governor (Vote For 1),,Total,Woolwich District 2,386
Governor (Vote For 1),,Registered Voters,Woolwich District 3,679
Governor (Vote For 1),,Total,Woolwich District 3,257
Governor (Vote For 1),,Registered Voters,Woolwich District 4,827
Governor (Vote For 1),,Total,Woolwich District 4,244
Governor (Vote For 1),,Registered Voters,Woolwich District 5,1305
Governor (Vote For 1),,Total,Woolwich District 5,421
Governor (Vote For 1),,Registered Voters,Woolwich District 6,764
Governor (Vote For 1),,Total,Woolwich District 6,367
Governor (Vote For 1),,Registered Voters,Woolwich District 7,1186
Governor (Vote For 1),,Total,Woolwich District 7,279
Governor (Vote For 1),,Registered Voters,Woolwich District 8,835
Governor (Vote For 1),,Total,Woolwich District 8,242
Governor (Vote For 1),,Registered Voters,Clayton Mail-In Ballot,0
Governor (Vote For 1),,Total,Clayton Mail-In Ballot,303
Governor (Vote For 1),,Registered Voters,Clayton Provisional,0
Governor (Vote For 1),,Total,Clayton Provisional,18
Governor (Vote For 1),,Registered Voters,Deptford Mail-In Ballot,0
Governor (Vote For 1),,Total,Deptford Mail-In Ballot,639
Governor (Vote For 1),,Registered Voters,Deptford Provisional,0
Governor (Vote For 1),,Total,Deptford Provisional,30
Governor (Vote For 1),,Registered Voters,East Greenwich Mail-In Ballot,0
Governor (Vote For 1),,Total,East Greenwich Mail-In Ballot,560
Governor (Vote For 1),,Registered Voters,East Greenwich Provisional,0
Governor (Vote For 1),,Total,East Greenwich Provisional,23
Governor (Vote For 1),,Registered Voters,East Greenwich Mail-In Ballot (CD 2),0
Governor (Vote For 1),,Total,East Greenwich Mail-In Ballot (CD 2),0
Governor (Vote For 1),,Registered Voters,East Greenwich Provisional (CD 2),0
Governor (Vote For 1),,Total,East Greenwich Provisional (CD 2),0
Governor (Vote For 1),,Registered Voters,Elk Mail-In Ballot,0
Governor (Vote For 1),,Total,Elk Mail-In Ballot,152
Governor (Vote For 1),,Registered Voters,Elk Provisional,0
Governor (Vote For 1),,Total,Elk Provisional,21
Governor (Vote For 1),,Registered Voters,Franklin Mail-In Ballot,0
Governor (Vote For 1),,Total,Franklin Mail-In Ballot,680
Governor (Vote For 1),,Registered Voters,Franklin Provisional,0
Governor (Vote For 1),,Total,Franklin Provisional,45
Governor (Vote For 1),,Registered Voters,Glassboro Mail-In Ballot,0
Governor (Vote For 1),,Total,Glassboro Mail-In Ballot,511
Governor (Vote For 1),,Registered Voters,Glassboro Provisional,0
Governor (Vote For 1),,Total,Glassboro Provisional,23
Governor (Vote For 1),,Registered Voters,Greenwich Mail-In Ballot,0
Governor (Vote For 1),,Total,Greenwich Mail-In Ballot,463
Governor (Vote For 1),,Registered Voters,Greenwich Provisional,0
Governor (Vote For 1),,Total,Greenwich Provisional,22
Governor (Vote For 1),,Registered Voters,Harrison Mail-In Ballot,0
Governor (Vote For 1),,Total,Harrison Mail-In Ballot,392
Governor (Vote For 1),,Registered Voters,Harrison Provisional,0
Governor (Vote For 1),,Total,Harrison Provisional,15
Governor (Vote For 1),,Registered Voters,Logan Mail-In Ballot,0
Governor (Vote For 1),,Total,Logan Mail-In Ballot,151
Governor (Vote For 1),,Registered Voters,Logan Provisional,0
Governor (Vote For 1),,Total,Logan Provisional,9
Governor (Vote For 1),,Registered Voters,Mantua Mail-In Ballot,0
