Race,Candidate,Vote Type,Locality,Votes
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Franklin District 7,999
State Senate 3rd Legislative District (Vote For 1),,Total,Franklin District 7,305
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Franklin District 8,702
State Senate 3rd Legislative District (Vote For 1),,Total,Franklin District 8,199
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Franklin District 9,960
State Senate 3rd Legislative District (Vote For 1),,Total,Franklin District 9,342
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Franklin District 10,1081
State Senate 3rd Legislative District (Vote For 1),,Total,Franklin District 10,360
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Franklin District 11,972
State Senate 3rd Legislative District (Vote For 1),,Total,Franklin District 11,328
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Glassboro District 1,1044
State Senate 3rd Legislative District (Vote For 1),,Total,Glassboro District 1,278
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Glassboro District 2,521
State Senate 3rd Legislative District (Vote For 1),,Total,Glassboro District 2,163
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Glassboro District 3,898
State Senate 3rd Legislative District (Vote For 1),,Total,Glassboro District 3,152
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Glassboro District 4,705
State Senate 3rd Legislative District (Vote For 1),,Total,Glassboro District 4,187
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Glassboro District 5,987
State Senate 3rd Legislative District (Vote For 1),,Total,Glassboro District 5,224
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Glassboro District 6,788
State Senate 3rd Legislative District (Vote For 1),,Total,Glassboro District 6,241
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Glassboro District 7,1316
State Senate 3rd Legislative District (Vote For 1),,Total,Glassboro District 7,417
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Glassboro District 8,879
State Senate 3rd Legislative District (Vote For 1),,Total,Glassboro District 8,260
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Glassboro District 9,650
State Senate 3rd Legislative District (Vote For 1),,Total,Glassboro District 9,191
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Glassboro District 10,871
State Senate 3rd Legislative District (Vote For 1),,Total,Glassboro District 10,274
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Glassboro District 11,898
State Senate 3rd Legislative District (Vote For 1),,Total,Glassboro District 11,310
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Glassboro District 12,898
State Senate 3rd Legislative District (Vote For 1),,Total,Glassboro District 12,281
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Glassboro District 13,745
State Senate 3rd Legislative District (Vote For 1),,Total,Glassboro District 13,382
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Greenwich District 1,420
State Senate 3rd Legislative District (Vote For 1),,Total,Greenwich District 1,160
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Greenwich District 2,665
State Senate 3rd Legislative District (Vote For 1),,Total,Greenwich District 2,273
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Greenwich District 3,551
State Senate 3rd Legislative District (Vote For 1),,Total,Greenwich District 3,212
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Greenwich District 4,590
State Senate 3rd Legislative District (Vote For 1),,Total,Greenwich District 4,228
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Greenwich District 5,531
State Senate 3rd Legislative District (Vote For 1),,Total,Greenwich District 5,184
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Greenwich District 6,904
State Senate 3rd Legislative District (Vote For 1),,Total,Greenwich District 6,332
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Logan District 1,786
State Senate 3rd Legislative District (Vote For 1),,Total,Logan District 1,273
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Logan District 2,1345
State Senate 3rd Legislative District (Vote For 1),,Total,Logan District 2,421
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Logan District 3,1115
State Senate 3rd Legislative District (Vote For 1),,Total,Logan District 3,346
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Logan District 4,1059
State Senate 3rd Legislative District (Vote For 1),,Total,Logan District 4,325
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,National Park District 1,468
State Senate 3rd Legislative District (Vote For 1),,Total,National Park District 1,171
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,National Park District 2,571
State Senate 3rd Legislative District (Vote For 1),,Total,National Park District 2,153
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,National Park District 3,592
State Senate 3rd Legislative District (Vote For 1),,Total,National Park District 3,192
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,National Park District 4,386
State Senate 3rd Legislative District (Vote For 1),,Total,National Park District 4,123
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Newfield District 1,1177
State Senate 3rd Legislative District (Vote For 1),,Total,Newfield District 1,389
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Paulsboro District 1,914
State Senate 3rd Legislative District (Vote For 1),,Total,Paulsboro District 1,253
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Paulsboro District 2,765
State Senate 3rd Legislative District (Vote For 1),,Total,Paulsboro District 2,220
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Paulsboro District 3,605
State Senate 3rd Legislative District (Vote For 1),,Total,Paulsboro District 3,148
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Paulsboro District 4,719
State Senate 3rd Legislative District (Vote For 1),,Total,Paulsboro District 4,228
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Paulsboro District 5,602
State Senate 3rd Legislative District (Vote For 1),,Total,Paulsboro District 5,195
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,South Harrison District 1,841
State Senate 3rd Legislative District (Vote For 1),,Total,South Harrison District 1,279
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,South Harrison District 2,824
State Senate 3rd Legislative District (Vote For 1),,Total,South Harrison District 2,292
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,South Harrison District 3,739
State Senate 3rd Legislative District (Vote For 1),,Total,South Harrison District 3,245
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Swedesboro District 1,842
State Senate 3rd Legislative District (Vote For 1),,Total,Swedesboro District 1,258
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Swedesboro District 2,785
State Senate 3rd Legislative District (Vote For 1),,Total,Swedesboro District 2,210
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 1,870
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 1,266
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 2,568
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 2,181
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 3,716
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 3,262
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 4,853
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 4,337
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 5,659
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 5,205
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 6,505
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 6,207
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 7,1114
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 7,384
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 8,912
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 8,353
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 9,679
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 9,194
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 10,649
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 10,197
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 11,593
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 11,229
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 12,524
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 12,154
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 13,1300
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 13,586
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 14,1042
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 14,268
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 15,952
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 15,281
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 16,841
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 16,371
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 17,906
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 17,261
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 18,921
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 18,226
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford District 19,1322
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford District 19,399
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Woodbury Heights 1,608
State Senate 3rd Legislative District (Vote For 1),,Total,Woodbury Heights 1,214
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Woodbury Heights 2,588
State Senate 3rd Legislative District (Vote For 1),,Total,Woodbury Heights 2,220
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Woodbury Heights 3,376
State Senate 3rd Legislative District (Vote For 1),,Total,Woodbury Heights 3,158
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Woodbury Heights 4,686
State Senate 3rd Legislative District (Vote For 1),,Total,Woodbury Heights 4,266
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Woolwich District 1,1421
State Senate 3rd Legislative District (Vote For 1),,Total,Woolwich District 1,463
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Woolwich District 2,1199
State Senate 3rd Legislative District (Vote For 1),,Total,Woolwich District 2,385
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Woolwich District 3,679
State Senate 3rd Legislative District (Vote For 1),,Total,Woolwich District 3,260
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Woolwich District 4,827
State Senate 3rd Legislative District (Vote For 1),,Total,Woolwich District 4,240
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Woolwich District 5,1305
State Senate 3rd Legislative District (Vote For 1),,Total,Woolwich District 5,420
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Woolwich District 6,764
State Senate 3rd Legislative District (Vote For 1),,Total,Woolwich District 6,355
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Woolwich District 7,1186
State Senate 3rd Legislative District (Vote For 1),,Total,Woolwich District 7,273
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Woolwich District 8,835
State Senate 3rd Legislative District (Vote For 1),,Total,Woolwich District 8,243
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Clayton Mail-In Ballot,0
State Senate 3rd Legislative District (Vote For 1),,Total,Clayton Mail-In Ballot,306
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Clayton Provisional,0
State Senate 3rd Legislative District (Vote For 1),,Total,Clayton Provisional,19
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,East Greenwich Mail-In Ballot,0
State Senate 3rd Legislative District (Vote For 1),,Total,East Greenwich Mail-In Ballot,577
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,East Greenwich Provisional,0
State Senate 3rd Legislative District (Vote For 1),,Total,East Greenwich Provisional,22
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,East Greenwich Mail-In Ballot (CD 2),0
State Senate 3rd Legislative District (Vote For 1),,Total,East Greenwich Mail-In Ballot (CD 2),0
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,East Greenwich Provisional (CD 2),0
State Senate 3rd Legislative District (Vote For 1),,Total,East Greenwich Provisional (CD 2),0
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Elk Mail-In Ballot,0
State Senate 3rd Legislative District (Vote For 1),,Total,Elk Mail-In Ballot,155
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Elk Provisional,0
State Senate 3rd Legislative District (Vote For 1),,Total,Elk Provisional,22
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Franklin Mail-In Ballot,0
State Senate 3rd Legislative District (Vote For 1),,Total,Franklin Mail-In Ballot,680
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Franklin Provisional,0
State Senate 3rd Legislative District (Vote For 1),,Total,Franklin Provisional,47
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Glassboro Mail-In Ballot,0
State Senate 3rd Legislative District (Vote For 1),,Total,Glassboro Mail-In Ballot,503
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Glassboro Provisional,0
State Senate 3rd Legislative District (Vote For 1),,Total,Glassboro Provisional,25
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Greenwich Mail-In Ballot,0
State Senate 3rd Legislative District (Vote For 1),,Total,Greenwich Mail-In Ballot,468
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Greenwich Provisional,0
State Senate 3rd Legislative District (Vote For 1),,Total,Greenwich Provisional,21
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Logan Mail-In Ballot,0
State Senate 3rd Legislative District (Vote For 1),,Total,Logan Mail-In Ballot,148
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Logan Provisional,0
State Senate 3rd Legislative District (Vote For 1),,Total,Logan Provisional,7
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,National Park Mail-In Ballot,0
State Senate 3rd Legislative District (Vote For 1),,Total,National Park Mail-In Ballot,66
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,National Park Provisional,0
State Senate 3rd Legislative District (Vote For 1),,Total,National Park Provisional,7
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Newfield Mail-In Ballot,0
State Senate 3rd Legislative District (Vote For 1),,Total,Newfield Mail-In Ballot,55
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Newfield Provisional,0
State Senate 3rd Legislative District (Vote For 1),,Total,Newfield Provisional,3
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Paulsboro Mail-In Ballot,0
State Senate 3rd Legislative District (Vote For 1),,Total,Paulsboro Mail-In Ballot,140
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Paulsboro Provisional,0
State Senate 3rd Legislative District (Vote For 1),,Total,Paulsboro Provisional,10
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,South Harrison Mail-In Ballot,0
State Senate 3rd Legislative District (Vote For 1),,Total,South Harrison Mail-In Ballot,110
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,South Harrison Provisional,0
State Senate 3rd Legislative District (Vote For 1),,Total,South Harrison Provisional,7
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Swedesboro Mail-In Ballot,0
State Senate 3rd Legislative District (Vote For 1),,Total,Swedesboro Mail-In Ballot,41
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Swedesboro Provisional,0
State Senate 3rd Legislative District (Vote For 1),,Total,Swedesboro Provisional,1
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford Mail-In Ballot,0
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford Mail-In Ballot,954
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,West Deptford Provisional,0
State Senate 3rd Legislative District (Vote For 1),,Total,West Deptford Provisional,58
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Woodbury Heights Mail-In Ballot,0
State Senate 3rd Legislative District (Vote For 1),,Total,Woodbury Heights Mail-In Ballot,83
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Woodbury Heights Provisional,0
State Senate 3rd Legislative District (Vote For 1),,Total,Woodbury Heights Provisional,7
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Woolwich Mail-In Ballot,0
State Senate 3rd Legislative District (Vote For 1),,Total,Woolwich Mail-In Ballot,442
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Woolwich Provisional,0
State Senate 3rd Legislative District (Vote For 1),,Total,Woolwich Provisional,35
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Total:,84858
State Senate 3rd Legislative District (Vote For 1),,Total,Total:,32530
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Clayton District 1,137
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Clayton District 1,137
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Clayton District 2,80
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Clayton District 2,80
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Clayton District 3,126
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Clayton District 3,126
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Clayton District 4,121
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Clayton District 4,121
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Clayton District 5,40
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Clayton District 5,40
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Clayton District 6,120
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Clayton District 6,120
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,East Greenwich 1,156
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,East Greenwich 1,156
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,East Greenwich 2,204
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,East Greenwich 2,204
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,East Greenwich 3,170
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,East Greenwich 3,170
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,East Greenwich 4,148
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,East Greenwich 4,148
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,East Greenwich 5,125
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,East Greenwich 5,125
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,East Greenwich 6,205
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,East Greenwich 6,205
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,East Greenwich 7,152
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,East Greenwich 7,152
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Elk District 1,39
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Elk District 1,39
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Elk District 2,137
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Elk District 2,137
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Elk District 3,203
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Elk District 3,203
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Elk District 4,159
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Elk District 4,159
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Franklin District 1,118
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Franklin District 1,118
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Franklin District 2,180
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Franklin District 2,180
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Franklin District 3,201
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Franklin District 3,201
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Franklin District 4,218
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Franklin District 4,218
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Franklin District 5,149
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Franklin District 5,149
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Franklin District 6,202
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Franklin District 6,202
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Franklin District 7,125
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Franklin District 7,125
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Franklin District 8,102
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Franklin District 8,102
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Franklin District 9,177
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Franklin District 9,177
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Franklin District 10,171
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Franklin District 10,171
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Franklin District 11,162
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Franklin District 11,162
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Glassboro District 1,72
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Glassboro District 1,72
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Glassboro District 2,27
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Glassboro District 2,27
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Glassboro District 3,36
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Glassboro District 3,36
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Glassboro District 4,60
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Glassboro District 4,60
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Glassboro District 5,53
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Glassboro District 5,53
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Glassboro District 6,88
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Glassboro District 6,88
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Glassboro District 7,157
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Glassboro District 7,157
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Glassboro District 8,93
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Glassboro District 8,93
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Glassboro District 9,81
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Glassboro District 9,81
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Glassboro District 10,100
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Glassboro District 10,100
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Glassboro District 11,123
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Glassboro District 11,123
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Glassboro District 12,104
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Glassboro District 12,104
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Election,Glassboro District 13,160
State Senate 3rd Legislative District (Vote For 1),- FRAN GRENIER,Total Votes,Glassboro District 13,160
