Race,Candidate,Vote Type,Locality,Votes
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 4,819
State Senate 27th District (Vote For 1),,Total,Maplewood 4,347
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 5,764
State Senate 27th District (Vote For 1),,Total,Maplewood 5,321
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 6,817
State Senate 27th District (Vote For 1),,Total,Maplewood 6,351
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 7,895
State Senate 27th District (Vote For 1),,Total,Maplewood 7,388
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 8,836
State Senate 27th District (Vote For 1),,Total,Maplewood 8,345
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 9,697
State Senate 27th District (Vote For 1),,Total,Maplewood 9,239
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 10,938
State Senate 27th District (Vote For 1),,Total,Maplewood 10,273
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 11,1546
State Senate 27th District (Vote For 1),,Total,Maplewood 11,502
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 12,794
State Senate 27th District (Vote For 1),,Total,Maplewood 12,312
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 13,1115
State Senate 27th District (Vote For 1),,Total,Maplewood 13,288
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 14,688
State Senate 27th District (Vote For 1),,Total,Maplewood 14,209
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 15,686
State Senate 27th District (Vote For 1),,Total,Maplewood 15,358
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 16,761
State Senate 27th District (Vote For 1),,Total,Maplewood 16,337
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 17,905
State Senate 27th District (Vote For 1),,Total,Maplewood 17,339
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 19,675
State Senate 27th District (Vote For 1),,Total,Maplewood 19,322
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 20,673
State Senate 27th District (Vote For 1),,Total,Maplewood 20,305
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 21,1104
State Senate 27th District (Vote For 1),,Total,Maplewood 21,336
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood 22,909
State Senate 27th District (Vote For 1),,Total,Maplewood 22,359
State Senate 27th District (Vote For 1),,Registered Voters,Millburn 1,1040
State Senate 27th District (Vote For 1),,Total,Millburn 1,278
State Senate 27th District (Vote For 1),,Registered Voters,Millburn 2,978
State Senate 27th District (Vote For 1),,Total,Millburn 2,390
State Senate 27th District (Vote For 1),,Registered Voters,Millburn 3,1011
State Senate 27th District (Vote For 1),,Total,Millburn 3,310
State Senate 27th District (Vote For 1),,Registered Voters,Millburn 4,984
State Senate 27th District (Vote For 1),,Total,Millburn 4,324
State Senate 27th District (Vote For 1),,Registered Voters,Millburn 5,678
State Senate 27th District (Vote For 1),,Total,Millburn 5,172
State Senate 27th District (Vote For 1),,Registered Voters,Millburn 6,903
State Senate 27th District (Vote For 1),,Total,Millburn 6,337
State Senate 27th District (Vote For 1),,Registered Voters,Millburn 7,1069
State Senate 27th District (Vote For 1),,Total,Millburn 7,386
State Senate 27th District (Vote For 1),,Registered Voters,Millburn 8,851
State Senate 27th District (Vote For 1),,Total,Millburn 8,265
State Senate 27th District (Vote For 1),,Registered Voters,Millburn 9,878
State Senate 27th District (Vote For 1),,Total,Millburn 9,287
State Senate 27th District (Vote For 1),,Registered Voters,Millburn 10,737
State Senate 27th District (Vote For 1),,Total,Millburn 10,244
State Senate 27th District (Vote For 1),,Registered Voters,Millburn 11,958
State Senate 27th District (Vote For 1),,Total,Millburn 11,270
State Senate 27th District (Vote For 1),,Registered Voters,Millburn 12,1126
State Senate 27th District (Vote For 1),,Total,Millburn 12,335
State Senate 27th District (Vote For 1),,Registered Voters,Millburn 13,1187
State Senate 27th District (Vote For 1),,Total,Millburn 13,297
State Senate 27th District (Vote For 1),,Registered Voters,Millburn 14,807
State Senate 27th District (Vote For 1),,Total,Millburn 14,241
State Senate 27th District (Vote For 1),,Registered Voters,Millburn 15,822
State Senate 27th District (Vote For 1),,Total,Millburn 15,227
State Senate 27th District (Vote For 1),,Registered Voters,Millburn 16,1079
State Senate 27th District (Vote For 1),,Total,Millburn 16,305
State Senate 27th District (Vote For 1),,Registered Voters,Roseland 1,838
State Senate 27th District (Vote For 1),,Total,Roseland 1,332
State Senate 27th District (Vote For 1),,Registered Voters,Roseland 2,1052
State Senate 27th District (Vote For 1),,Total,Roseland 2,373
State Senate 27th District (Vote For 1),,Registered Voters,Roseland 3,734
State Senate 27th District (Vote For 1),,Total,Roseland 3,284
State Senate 27th District (Vote For 1),,Registered Voters,Roseland 4,907
State Senate 27th District (Vote For 1),,Total,Roseland 4,396
State Senate 27th District (Vote For 1),,Registered Voters,Roseland 5,845
State Senate 27th District (Vote For 1),,Total,Roseland 5,349
State Senate 27th District (Vote For 1),,Registered Voters,Roseland 6,796
State Senate 27th District (Vote For 1),,Total,Roseland 6,321
State Senate 27th District (Vote For 1),,Registered Voters,South Orange 1,1003
State Senate 27th District (Vote For 1),,Total,South Orange 1,381
State Senate 27th District (Vote For 1),,Registered Voters,South Orange 2,704
State Senate 27th District (Vote For 1),,Total,South Orange 2,292
State Senate 27th District (Vote For 1),,Registered Voters,South Orange 3,873
State Senate 27th District (Vote For 1),,Total,South Orange 3,386
State Senate 27th District (Vote For 1),,Registered Voters,South Orange 4,1129
State Senate 27th District (Vote For 1),,Total,South Orange 4,425
State Senate 27th District (Vote For 1),,Registered Voters,South Orange 6,940
State Senate 27th District (Vote For 1),,Total,South Orange 6,393
State Senate 27th District (Vote For 1),,Registered Voters,South Orange 7,1787
State Senate 27th District (Vote For 1),,Total,South Orange 7,737
State Senate 27th District (Vote For 1),,Registered Voters,South Orange 8,798
State Senate 27th District (Vote For 1),,Total,South Orange 8,357
State Senate 27th District (Vote For 1),,Registered Voters,South Orange 9,1127
State Senate 27th District (Vote For 1),,Total,South Orange 9,327
State Senate 27th District (Vote For 1),,Registered Voters,South Orange 10,712
State Senate 27th District (Vote For 1),,Total,South Orange 10,336
State Senate 27th District (Vote For 1),,Registered Voters,South Orange 11,773
State Senate 27th District (Vote For 1),,Total,South Orange 11,279
State Senate 27th District (Vote For 1),,Registered Voters,South Orange 12,1166
State Senate 27th District (Vote For 1),,Total,South Orange 12,404
State Senate 27th District (Vote For 1),,Registered Voters,South Orange 13,1490
State Senate 27th District (Vote For 1),,Total,South Orange 13,563
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 1-1,844
State Senate 27th District (Vote For 1),,Total,West Orange 1-1,316
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 1-2,771
State Senate 27th District (Vote For 1),,Total,West Orange 1-2,302
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 1-3,731
State Senate 27th District (Vote For 1),,Total,West Orange 1-3,263
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 1-4,1032
State Senate 27th District (Vote For 1),,Total,West Orange 1-4,393
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 1-6,996
State Senate 27th District (Vote For 1),,Total,West Orange 1-6,220
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 1-7,472
State Senate 27th District (Vote For 1),,Total,West Orange 1-7,117
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 1-8,848
State Senate 27th District (Vote For 1),,Total,West Orange 1-8,353
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 1-9,620
State Senate 27th District (Vote For 1),,Total,West Orange 1-9,214
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 2-1,1074
State Senate 27th District (Vote For 1),,Total,West Orange 2-1,330
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 2-2,1292
State Senate 27th District (Vote For 1),,Total,West Orange 2-2,452
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 2-3,761
State Senate 27th District (Vote For 1),,Total,West Orange 2-3,198
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 2-4,513
State Senate 27th District (Vote For 1),,Total,West Orange 2-4,149
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 2-5,678
State Senate 27th District (Vote For 1),,Total,West Orange 2-5,232
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 3-1,539
State Senate 27th District (Vote For 1),,Total,West Orange 3-1,122
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 3-2,597
State Senate 27th District (Vote For 1),,Total,West Orange 3-2,109
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 3-3,834
State Senate 27th District (Vote For 1),,Total,West Orange 3-3,222
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 4-1,1228
State Senate 27th District (Vote For 1),,Total,West Orange 4-1,385
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 4-2,1271
State Senate 27th District (Vote For 1),,Total,West Orange 4-2,472
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 4-3,1303
State Senate 27th District (Vote For 1),,Total,West Orange 4-3,399
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 4-4,832
State Senate 27th District (Vote For 1),,Total,West Orange 4-4,242
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 4-5,1393
State Senate 27th District (Vote For 1),,Total,West Orange 4-5,434
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 4-6,1076
State Senate 27th District (Vote For 1),,Total,West Orange 4-6,427
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 4-7,1260
State Senate 27th District (Vote For 1),,Total,West Orange 4-7,362
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 4-8,932
State Senate 27th District (Vote For 1),,Total,West Orange 4-8,293
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 4-9,1109
State Senate 27th District (Vote For 1),,Total,West Orange 4-9,329
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 4-10,595
State Senate 27th District (Vote For 1),,Total,West Orange 4-10,177
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 4-11,627
State Senate 27th District (Vote For 1),,Total,West Orange 4-11,172
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 4-12,1488
State Senate 27th District (Vote For 1),,Total,West Orange 4-12,648
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 4-13,1042
State Senate 27th District (Vote For 1),,Total,West Orange 4-13,333
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 4-14,1122
State Senate 27th District (Vote For 1),,Total,West Orange 4-14,247
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 4-15,1269
State Senate 27th District (Vote For 1),,Total,West Orange 4-15,426
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 4-16,740
State Senate 27th District (Vote For 1),,Total,West Orange 4-16,219
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 5-1,611
State Senate 27th District (Vote For 1),,Total,West Orange 5-1,144
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 5-2,663
State Senate 27th District (Vote For 1),,Total,West Orange 5-2,157
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 5-3,1003
State Senate 27th District (Vote For 1),,Total,West Orange 5-3,352
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 5-4,766
State Senate 27th District (Vote For 1),,Total,West Orange 5-4,237
State Senate 27th District (Vote For 1),,Registered Voters,West Orange 5-5,650
State Senate 27th District (Vote For 1),,Total,West Orange 5-5,173
State Senate 27th District (Vote For 1),,Registered Voters,Caldwell Mail-In,0
State Senate 27th District (Vote For 1),,Total,Caldwell Mail-In,140
State Senate 27th District (Vote For 1),,Registered Voters,Essex Fells Mail-In,0
State Senate 27th District (Vote For 1),,Total,Essex Fells Mail-In,34
State Senate 27th District (Vote For 1),,Registered Voters,Livingston Mail-In,0
State Senate 27th District (Vote For 1),,Total,Livingston Mail-In,520
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood Mail-In,0
State Senate 27th District (Vote For 1),,Total,Maplewood Mail-In,384
State Senate 27th District (Vote For 1),,Registered Voters,Millburn Mail-In,0
State Senate 27th District (Vote For 1),,Total,Millburn Mail-In,362
State Senate 27th District (Vote For 1),,Registered Voters,Roseland Mail-In,0
State Senate 27th District (Vote For 1),,Total,Roseland Mail-In,139
State Senate 27th District (Vote For 1),,Registered Voters,South Orange Mail-In,0
State Senate 27th District (Vote For 1),,Total,South Orange Mail-In,305
State Senate 27th District (Vote For 1),,Registered Voters,West Orange Mail-In,0
State Senate 27th District (Vote For 1),,Total,West Orange Mail-In,721
State Senate 27th District (Vote For 1),,Registered Voters,Caldwell Provisional,0
State Senate 27th District (Vote For 1),,Total,Caldwell Provisional,15
State Senate 27th District (Vote For 1),,Registered Voters,Essex Fells Provisional,0
State Senate 27th District (Vote For 1),,Total,Essex Fells Provisional,4
State Senate 27th District (Vote For 1),,Registered Voters,Livingston Provisional,0
State Senate 27th District (Vote For 1),,Total,Livingston Provisional,28
State Senate 27th District (Vote For 1),,Registered Voters,Maplewood Provisional,0
State Senate 27th District (Vote For 1),,Total,Maplewood Provisional,60
State Senate 27th District (Vote For 1),,Registered Voters,Millburn Provisional,0
State Senate 27th District (Vote For 1),,Total,Millburn Provisional,27
State Senate 27th District (Vote For 1),,Registered Voters,Roseland Provisional,0
State Senate 27th District (Vote For 1),,Total,Roseland Provisional,12
State Senate 27th District (Vote For 1),,Registered Voters,South Orange Provisional,0
State Senate 27th District (Vote For 1),,Total,South Orange Provisional,45
State Senate 27th District (Vote For 1),,Registered Voters,West Orange Provisional,0
State Senate 27th District (Vote For 1),,Total,West Orange Provisional,99
State Senate 27th District (Vote For 1),,Registered Voters,Total:,114481
State Senate 27th District (Vote For 1),,Total,Total:,41439
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Caldwell 1,147
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Caldwell 1,147
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Caldwell 2,103
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Caldwell 2,103
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Caldwell 3,126
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Caldwell 3,126
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Caldwell 4,177
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Caldwell 4,177
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Caldwell 5,256
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Caldwell 5,256
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Caldwell 6,177
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Caldwell 6,177
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Caldwell 7,254
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Caldwell 7,254
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Essex Fells 1,89
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Essex Fells 1,89
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Essex Fells 2,181
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Essex Fells 2,181
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 1,175
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 1,175
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 2,199
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 2,199
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 3,241
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 3,241
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 4,151
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 4,151
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 5,244
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 5,244
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 6,183
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 6,183
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 7,173
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 7,173
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 8,211
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 8,211
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 9,145
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 9,145
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 10,228
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 10,228
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 11,158
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 11,158
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 12,181
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 12,181
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 13,163
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 13,163
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 14,196
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 14,196
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 15,153
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 15,153
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 16,114
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 16,114
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 17,144
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 17,144
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 18,174
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 18,174
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 19,210
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 19,210
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 20,162
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 20,162
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 21,180
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 21,180
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 22,196
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 22,196
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 23,104
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 23,104
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 24,95
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 24,95
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 25,172
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 25,172
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Livingston 26,184
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Livingston 26,184
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 1,288
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 1,288
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 2,427
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 2,427
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 3,395
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 3,395
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 4,333
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 4,333
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 5,300
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 5,300
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 6,326
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 6,326
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 7,337
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 7,337
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 8,300
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 8,300
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 9,214
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 9,214
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 10,250
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 10,250
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 11,472
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 11,472
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 12,291
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 12,291
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 13,263
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 13,263
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 14,202
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 14,202
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 15,330
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 15,330
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 16,308
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 16,308
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 17,282
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 17,282
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 19,288
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 19,288
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 20,274
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 20,274
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 21,324
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Total Votes,Maplewood 21,324
State Senate 27th District (Vote For 1),Dem - Richard CODEY,Election,Maplewood 22,343
