Race,Candidate,Vote Type,Locality,Votes
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Fairfield 1,53
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Fairfield 1,53
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Fairfield 2,131
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Fairfield 2,131
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Fairfield 3,88
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Fairfield 3,88
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Fairfield 4,98
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Fairfield 4,98
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Fairfield 5,46
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Fairfield 5,46
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,North Caldwell 1,253
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,North Caldwell 1,253
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,North Caldwell 2,213
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,North Caldwell 2,213
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,North Caldwell 3,183
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,North Caldwell 3,183
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,North Caldwell 4,122
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,North Caldwell 4,122
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Verona 1,234
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Verona 1,234
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Verona 2,175
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Verona 2,175
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Verona 3,151
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Verona 3,151
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Verona 4,212
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Verona 4,212
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Verona 5,251
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Verona 5,251
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Verona 6,200
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Verona 6,200
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Verona 7,143
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Verona 7,143
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Verona 8,191
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Verona 8,191
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Verona 9,157
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Verona 9,157
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Verona 10,225
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Verona 10,225
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Verona 11,186
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Verona 11,186
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,West Caldwell 1,126
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,West Caldwell 1,126
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,West Caldwell 2,145
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,West Caldwell 2,145
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,West Caldwell 3,184
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,West Caldwell 3,184
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,West Caldwell 4,183
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,West Caldwell 4,183
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,West Caldwell 5,136
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,West Caldwell 5,136
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,West Caldwell 6,142
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,West Caldwell 6,142
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,West Caldwell 7,134
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,West Caldwell 7,134
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,West Caldwell 8,151
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,West Caldwell 8,151
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,West Caldwell 9,169
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,West Caldwell 9,169
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Fairfield Mail-In,28
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Fairfield Mail-In,28
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,North Caldwell Mail-In,41
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,North Caldwell Mail-In,41
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Verona Mail-In,147
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Verona Mail-In,147
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,West Caldwell Mail-In,125
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,West Caldwell Mail-In,125
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Fairfield Provisional,9
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Fairfield Provisional,9
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,North Caldwell Provisional,3
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,North Caldwell Provisional,3
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Verona Provisional,20
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Verona Provisional,20
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,West Caldwell Provisional,10
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,West Caldwell Provisional,10
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Election,Total:,5065
State Senate 26th District (Vote For 1),Dem - Elliot ISIBOR,Total Votes,Total:,5065
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Fairfield 1,207
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Fairfield 1,207
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Fairfield 2,232
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Fairfield 2,232
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Fairfield 3,274
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Fairfield 3,274
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Fairfield 4,235
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Fairfield 4,235
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Fairfield 5,113
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Fairfield 5,113
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,North Caldwell 1,285
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,North Caldwell 1,285
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,North Caldwell 2,237
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,North Caldwell 2,237
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,North Caldwell 3,208
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,North Caldwell 3,208
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,North Caldwell 4,191
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,North Caldwell 4,191
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Verona 1,152
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Verona 1,152
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Verona 2,134
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Verona 2,134
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Verona 3,104
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Verona 3,104
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Verona 4,137
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Verona 4,137
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Verona 5,177
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Verona 5,177
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Verona 6,129
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Verona 6,129
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Verona 7,129
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Verona 7,129
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Verona 8,143
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Verona 8,143
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Verona 9,138
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Verona 9,138
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Verona 10,159
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Verona 10,159
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Verona 11,116
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Verona 11,116
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,West Caldwell 1,144
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,West Caldwell 1,144
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,West Caldwell 2,155
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,West Caldwell 2,155
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,West Caldwell 3,214
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,West Caldwell 3,214
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,West Caldwell 4,166
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,West Caldwell 4,166
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,West Caldwell 5,143
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,West Caldwell 5,143
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,West Caldwell 6,169
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,West Caldwell 6,169
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,West Caldwell 7,127
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,West Caldwell 7,127
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,West Caldwell 8,164
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,West Caldwell 8,164
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,West Caldwell 9,212
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,West Caldwell 9,212
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Fairfield Mail-In,54
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Fairfield Mail-In,54
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,North Caldwell Mail-In,45
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,North Caldwell Mail-In,45
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Verona Mail-In,87
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Verona Mail-In,87
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,West Caldwell Mail-In,84
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,West Caldwell Mail-In,84
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Fairfield Provisional,4
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Fairfield Provisional,4
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,North Caldwell Provisional,2
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,North Caldwell Provisional,2
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Verona Provisional,4
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Verona Provisional,4
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,West Caldwell Provisional,4
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,West Caldwell Provisional,4
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Election,Total:,5278
State Senate 26th District (Vote For 1),Rep - Joe PENNACCHIO,Total Votes,Total:,5278
State Senate 26th District (Vote For 1),Write-In,Election,Fairfield 1,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,Fairfield 1,0
State Senate 26th District (Vote For 1),Write-In,Election,Fairfield 2,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,Fairfield 2,0
State Senate 26th District (Vote For 1),Write-In,Election,Fairfield 3,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,Fairfield 3,0
State Senate 26th District (Vote For 1),Write-In,Election,Fairfield 4,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,Fairfield 4,0
State Senate 26th District (Vote For 1),Write-In,Election,Fairfield 5,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,Fairfield 5,0
State Senate 26th District (Vote For 1),Write-In,Election,North Caldwell 1,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,North Caldwell 1,0
State Senate 26th District (Vote For 1),Write-In,Election,North Caldwell 2,1
State Senate 26th District (Vote For 1),Write-In,Total Votes,North Caldwell 2,1
State Senate 26th District (Vote For 1),Write-In,Election,North Caldwell 3,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,North Caldwell 3,0
State Senate 26th District (Vote For 1),Write-In,Election,North Caldwell 4,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,North Caldwell 4,0
State Senate 26th District (Vote For 1),Write-In,Election,Verona 1,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,Verona 1,0
State Senate 26th District (Vote For 1),Write-In,Election,Verona 2,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,Verona 2,0
State Senate 26th District (Vote For 1),Write-In,Election,Verona 3,1
State Senate 26th District (Vote For 1),Write-In,Total Votes,Verona 3,1
State Senate 26th District (Vote For 1),Write-In,Election,Verona 4,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,Verona 4,0
State Senate 26th District (Vote For 1),Write-In,Election,Verona 5,2
State Senate 26th District (Vote For 1),Write-In,Total Votes,Verona 5,2
State Senate 26th District (Vote For 1),Write-In,Election,Verona 6,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,Verona 6,0
State Senate 26th District (Vote For 1),Write-In,Election,Verona 7,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,Verona 7,0
State Senate 26th District (Vote For 1),Write-In,Election,Verona 8,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,Verona 8,0
State Senate 26th District (Vote For 1),Write-In,Election,Verona 9,1
State Senate 26th District (Vote For 1),Write-In,Total Votes,Verona 9,1
State Senate 26th District (Vote For 1),Write-In,Election,Verona 10,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,Verona 10,0
State Senate 26th District (Vote For 1),Write-In,Election,Verona 11,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,Verona 11,0
State Senate 26th District (Vote For 1),Write-In,Election,West Caldwell 1,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,West Caldwell 1,0
State Senate 26th District (Vote For 1),Write-In,Election,West Caldwell 2,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,West Caldwell 2,0
State Senate 26th District (Vote For 1),Write-In,Election,West Caldwell 3,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,West Caldwell 3,0
State Senate 26th District (Vote For 1),Write-In,Election,West Caldwell 4,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,West Caldwell 4,0
State Senate 26th District (Vote For 1),Write-In,Election,West Caldwell 5,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,West Caldwell 5,0
State Senate 26th District (Vote For 1),Write-In,Election,West Caldwell 6,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,West Caldwell 6,0
State Senate 26th District (Vote For 1),Write-In,Election,West Caldwell 7,1
State Senate 26th District (Vote For 1),Write-In,Total Votes,West Caldwell 7,1
State Senate 26th District (Vote For 1),Write-In,Election,West Caldwell 8,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,West Caldwell 8,0
State Senate 26th District (Vote For 1),Write-In,Election,West Caldwell 9,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,West Caldwell 9,0
State Senate 26th District (Vote For 1),Write-In,Election,Fairfield Mail-In,1
State Senate 26th District (Vote For 1),Write-In,Total Votes,Fairfield Mail-In,1
State Senate 26th District (Vote For 1),Write-In,Election,North Caldwell Mail-In,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,North Caldwell Mail-In,0
State Senate 26th District (Vote For 1),Write-In,Election,Verona Mail-In,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,Verona Mail-In,0
State Senate 26th District (Vote For 1),Write-In,Election,West Caldwell Mail-In,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,West Caldwell Mail-In,0
State Senate 26th District (Vote For 1),Write-In,Election,Fairfield Provisional,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,Fairfield Provisional,0
State Senate 26th District (Vote For 1),Write-In,Election,North Caldwell Provisional,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,North Caldwell Provisional,0
State Senate 26th District (Vote For 1),Write-In,Election,Verona Provisional,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,Verona Provisional,0
State Senate 26th District (Vote For 1),Write-In,Election,West Caldwell Provisional,0
State Senate 26th District (Vote For 1),Write-In,Total Votes,West Caldwell Provisional,0
State Senate 26th District (Vote For 1),Write-In,Election,Total:,7
State Senate 26th District (Vote For 1),Write-In,Total Votes,Total:,7
